Feature,Importance
Activity_corrected_to_sampling_date,0.5582057
Parts_encoded,0.35450652
Inventory,0.28222668
Soil_profile_number,0.2337977
Middle_sampling_soil_depth,0.22208571
Variance_inv,0.15552267
Inventory_corrected_to_sampling_date,0.15139784
Corrected_year,0.14341006
MEXT_Cs134,0.14060365
Tag,0.13958807
Sampling_year,0.124782875
MEXT_Cs137,0.123387896
Maximum_act,0.1199157
MEXT_dose,0.11775711
Upper_sampling_soil_depth,0.1144364
modMEXT_Cs137_by_Kato_et_al._2019,0.11097114
Lower_sampling_soil_depth,0.10563773
Corrected_month,0.102975525
Tree_density,0.102002986
Parts_animal_encoded,0.10124975
Height_Elevation,0.10115577
Leaf/ring_age_encoded,0.100507155
Mushroom_animal_scientific_name_encoded,0.1004914
Position_on_slope_encoded,0.099662334
Variance_act,0.09835201
Wild_Grown_mushroom_encoded,0.098313294
Mushroom_animal_name_encoded,0.09800672
Sampling_month,0.0976104
Total_biomass,0.09719302
Leaf_habit_encoded,0.09297985
Latitude_(min),0.09245269
Year_published,0.0899527
Longitude_(min),0.089257345
N_inv,0.0848766
Minimum_inv,0.08311236
Elevation,0.08268119
N_sample_act,0.08251266
Thickness_type_litter_encoded,0.08202983
Latitude_(sec),0.0816051
modMEXT_Cs137_by_Kato_et_al._2019_2011.3.11corrected,0.08126792
Mean_annual_precipitation,0.078885615
Maximum_inv,0.078452654
Distance_from_FDNPP,0.07820993
Corrected_day,0.07818681
Thickness_type_litter,0.07816748
Minimum_act,0.07802448
Sampling_day,0.07776521
Longitude_(sec),0.07760879
Middle_sampling_height,0.07715942
LAI,0.07653249
Mean_annual_temperature,0.076094225
Site_name,0.07599483
Variance_type_inv_encoded,0.07596518
Longitude_(deg),0.075168185
Elevation_NLNI,0.07294032
Slope_aspect_encoded,0.072331086
Diameter_at_breast_height,0.07205531
MEXT_Cs137_2011.3.11.corrected,0.071843535
Inventory_Soil_Tag,0.071539484
Stand_age,0.071204916
Leaf/ring_age,0.07027925
Tree_height,0.07025024
Latitude_(deg),0.069772504
Upper_sampling_height,0.06908312
Japan_mesh_code,0.067460924
Lower_sampling_height,0.06636266
